Date,Time,Price,Volume
02/05/2010,1214,105.88,309947
02/05/2010,1215,105.87,801791
02/05/2010,1216,105.86,297333
02/05/2010,1217,105.82,194616
02/05/2010,1218,105.86,1030790
02/05/2010,1219,105.87,314398
02/05/2010,1220,106.00,687553
02/05/2010,1221,106.10,785654
02/05/2010,1222,106.05,327776
02/05/2010,1223,105.98,507270
02/05/2010,1224,106.00,296680
02/05/2010,1225,105.96,900612
02/05/2010,1226,105.98,174239
02/05/2010,1227,106.00,550545
02/05/2010,1228,106.05,324422
02/05/2010,1229,106.03,289334
02/05/2010,1230,106.05,244319
02/05/2010,1231,106.00,236641
02/05/2010,1232,105.95,952719
02/05/2010,1233,106.03,183094
02/05/2010,1234,106.03,192072
02/05/2010,1235,106.00,231181
02/05/2010,1236,106.06,251890
02/05/2010,1237,106.07,83699
02/05/2010,1238,106.04,261020
02/05/2010,1239,106.01,337627
02/05/2010,1240,105.83,1613850
02/05/2010,1241,105.80,1014924
02/05/2010,1242,105.77,929689
02/05/2010,1243,105.78,350180
02/05/2010,1244,105.82,1819607
02/05/2010,1245,105.88,268801
02/05/2010,1246,105.86,417853
02/05/2010,1247,105.89,710947
02/05/2010,1248,105.94,364775
02/05/2010,1249,105.87,372233
02/05/2010,1250,105.88,236874
02/05/2010,1251,105.90,113463
02/05/2010,1252,105.89,110504
02/05/2010,1253,105.69,1434869
02/05/2010,1254,105.71,891721
02/05/2010,1255,105.76,299018
02/05/2010,1256,105.76,235249
02/05/2010,1257,105.84,339713
02/05/2010,1258,105.79,130655
02/05/2010,1259,105.88,267316
02/05/2010,1300,105.91,299513
02/05/2010,1301,105.81,161643
02/05/2010,1302,105.79,241917
02/05/2010,1303,105.84,102777
02/05/2010,1304,105.80,155573
02/05/2010,1305,105.83,222757
02/05/2010,1306,105.75,190756
02/05/2010,1307,105.73,212398
02/05/2010,1308,105.67,295254
02/05/2010,1309,105.63,664692
02/05/2010,1310,105.62,1060584
02/05/2010,1311,105.65,770928
02/05/2010,1312,105.57,548573
02/05/2010,1313,105.57,732899
02/05/2010,1314,105.58,452971
02/05/2010,1315,105.66,566487
02/05/2010,1316,105.67,551665
02/05/2010,1317,105.63,294542
02/05/2010,1318,105.67,225094
02/05/2010,1319,105.66,226718
02/05/2010,1320,105.68,422600
02/05/2010,1321,105.61,315389
02/05/2010,1322,105.58,265023
02/05/2010,1323,105.58,307853
02/05/2010,1324,105.39,2316966
02/05/2010,1325,105.38,1823536
02/05/2010,1326,105.42,519986
02/05/2010,1327,105.36,692659
02/05/2010,1328,105.30,571658
02/05/2010,1329,105.33,651755
02/05/2010,1330,105.33,493744
02/05/2010,1331,105.34,522603
02/05/2010,1332,105.35,553103
02/05/2010,1333,105.29,650081
02/05/2010,1334,105.19,1517723
02/05/2010,1335,105.19,761598
02/05/2010,1336,105.21,692419
02/05/2010,1337,105.21,576423
02/05/2010,1338,105.11,1488331
02/05/2010,1339,104.94,2849332
02/05/2010,1340,104.97,1664574
02/05/2010,1341,104.86,1003333
02/05/2010,1342,104.84,1503187
02/05/2010,1343,104.87,2364257
02/05/2010,1344,104.71,1776439
02/05/2010,1345,104.86,2734031
02/05/2010,1346,104.82,2214018
02/05/2010,1347,104.83,1007717
02/05/2010,1348,104.81,449110
02/05/2010,1349,104.87,441813
02/05/2010,1350,104.90,893509
02/05/2010,1351,104.89,1002975
02/05/2010,1352,104.85,1556832
02/05/2010,1353,104.85,1031572
02/05/2010,1354,104.86,1016931
02/05/2010,1355,104.84,256095
02/05/2010,1356,104.87,312515
02/05/2010,1357,104.82,1434217
02/05/2010,1358,104.75,1612385
02/05/2010,1359,104.63,2472340
02/05/2010,1400,104.64,1339716
02/05/2010,1401,104.75,1261780
02/05/2010,1402,104.72,521047
02/05/2010,1403,104.77,557014
02/05/2010,1404,104.88,1815765
02/05/2010,1405,104.95,1437616
02/05/2010,1406,105.03,1137220
02/05/2010,1407,105.03,1355122
02/05/2010,1408,104.97,990361
02/05/2010,1409,104.96,549285
02/05/2010,1410,104.91,432591
02/05/2010,1411,104.91,902046
02/05/2010,1412,104.90,1041236
02/05/2010,1413,104.97,1030805
02/05/2010,1414,104.92,825087
02/05/2010,1415,105.02,844656
02/05/2010,1416,105.04,876750
02/05/2010,1417,105.03,649717
02/05/2010,1418,105.08,752074
02/05/2010,1419,105.18,1569130
02/05/2010,1420,105.16,1340296
02/05/2010,1421,105.13,887845
02/05/2010,1422,105.11,956924
02/05/2010,1423,105.09,841841
02/05/2010,1424,105.08,1248238
02/05/2010,1425,105.14,1049384
02/05/2010,1426,105.21,507582
02/05/2010,1427,105.25,1241748
02/05/2010,1428,105.20,735073
02/05/2010,1429,105.22,601747
02/05/2010,1430,105.24,1013408
02/05/2010,1431,105.16,858853
02/05/2010,1432,105.11,1472315
02/05/2010,1433,105.11,1077524
02/05/2010,1434,105.23,1125264
02/05/2010,1435,105.22,482329
02/05/2010,1436,105.27,533365
02/05/2010,1437,105.22,1142062
02/05/2010,1438,105.19,966374
02/05/2010,1439,105.19,1164869
02/05/2010,1440,105.14,1138805
02/05/2010,1441,105.11,1296325
02/05/2010,1442,105.08,477704
02/05/2010,1443,105.02,1009740
02/05/2010,1444,104.96,2035146
02/05/2010,1445,105.02,604945
02/05/2010,1446,105.01,349840
02/05/2010,1447,104.97,696115
02/05/2010,1448,105.10,1163603
02/05/2010,1449,105.20,1633732
02/05/2010,1450,105.23,2166889
02/05/2010,1451,105.32,1255519
02/05/2010,1452,105.28,1630816
02/05/2010,1453,105.25,445711
02/05/2010,1454,105.28,308872
02/05/2010,1455,105.34,1148813
02/05/2010,1456,105.23,816243
02/05/2010,1457,105.29,235714
02/05/2010,1458,105.31,2477942
02/05/2010,1459,105.22,570257
02/05/2010,1500,105.28,1270448
02/05/2010,1501,105.33,1036344
02/05/2010,1502,105.48,2254922
02/05/2010,1503,105.54,1846783
02/05/2010,1504,105.54,866003
02/05/2010,1505,105.47,1386038
02/05/2010,1506,105.48,517972
02/05/2010,1507,105.70,2342746
02/05/2010,1508,106.07,5693731
02/05/2010,1509,106.19,4563835
02/05/2010,1510,106.14,2488065
02/05/2010,1511,106.01,2077971
02/05/2010,1512,106.08,1334968
02/05/2010,1513,106.14,936182
02/05/2010,1514,106.40,1994604
02/05/2010,1515,106.54,5178127
02/05/2010,1516,106.42,2362372
02/05/2010,1517,106.05,2565892
02/05/2010,1518,106.18,2089190
02/05/2010,1519,106.29,1484555
02/05/2010,1520,106.33,972145
02/05/2010,1521,106.49,1517226
02/05/2010,1522,106.32,2071969
02/05/2010,1523,106.37,988516
02/05/2010,1524,106.36,537905
02/05/2010,1525,106.21,746904
02/05/2010,1526,106.31,1206129
02/05/2010,1527,106.27,1494112
02/05/2010,1528,106.21,926791
02/05/2010,1529,106.21,1591690
02/05/2010,1530,106.26,448371
02/05/2010,1531,106.18,762155
